Ward,AgeGroup,Total,Men,Women
9,80-84,1145,470,670
9,85-89,715,295,415
9,90-94,265,90,170
9,95-99,70,25,40
9,100 years and over,0,0,0
10,Total,89485,45170,44315
10,0-4,4955,2520,2440
10,5-9,6010,3115,2900
10,10-14,5715,3005,2710
10,15-19,5520,2805,2715
10,20-24,5810,2945,2865
10,25-29,5635,2880,2755
10,30-34,6075,3025,3050
10,35-39,6540,3315,3230
10,40-44,6445,3200,3245
10,45-49,5550,2860,2690
10,50-54,5305,2670,2635
10,55-59,6050,3090,2960
10,60-64,6470,3280,3195
10,65-69,5025,2445,2580
10,70-74,3800,1885,1915
10,75-79,2295,1085,1215
10,80-84,1330,640,690
10,85-89,665,310,350
10,90-94,210,90,125
10,95-99,65,15,50
10,100 years and over,10,0,10
11,Total,102435,50565,51870
11,0-4,4995,2570,2420
11,5-9,5265,2740,2525
11,10-14,5065,2570,2495
11,15-19,4780,2610,2180
11,20-24,5800,2940,2860
11,25-29,6120,3025,3095
11,30-34,7500,3730,3770
11,35-39,7835,3880,3955
11,40-44,7030,3475,3560
11,45-49,6605,3240,3365
11,50-54,6560,3050,3515
11,55-59,8005,3955,4045
11,60-64,8015,3840,4175
11,65-69,6175,3105,3070
11,70-74,4840,2305,2540
11,75-79,3250,1555,1690
11,80-84,2310,990,1320
11,85-89,1520,720,800
11,90-94,630,235,395
11,95-99,125,30,90
11,100 years and over,10,0,10
12,Total,101455,50185,51270
12,0-4,8145,4180,3960
12,5-9,9065,4575,4490
12,10-14,8160,4290,3870
12,15-19,5560,2715,2845
12,20-24,4285,2005,2275
12,25-29,5950,2880,3070
12,30-34,9535,4555,4980
12,35-39,11780,5695,6080
12,40-44,10525,5275,5245
12,45-49,8040,4205,3840
12,50-54,5735,2960,2775
12,55-59,4140,2075,2065
12,60-64,3510,1620,1895
12,65-69,2860,1315,1545
12,70-74,2115,925,1195
12,75-79,1090,440,650
12,80-84,565,285,280
12,85-89,315,150,165
12,90-94,70,30,35
12,95-99,15,0,10
12,100 years and over,0,0,0
13,Total,91535,45120,46410
13,0-4,4850,2480,2365
13,5-9,5665,2955,2710
13,10-14,6315,3315,2995
13,15-19,5730,2850,2880
13,20-24,5575,3000,2570
13,25-29,4675,2420,2250
13,30-34,5785,2765,3025
13,35-39,6895,3265,3635
13,40-44,7065,3440,3625
13,45-49,7260,3350,3905
13,50-54,6900,3445,3455
13,55-59,6455,3220,3240
13,60-64,5845,2830,3010
13,65-69,4510,2175,2335
13,70-74,3615,1625,1985
13,75-79,2180,995,1180
13,80-84,1330,600,730
13,85-89,635,285,350
13,90-94,205,100,105
13,95-99,40,10,35
13,100 years and over,10,0,10
14,Total,86450,42920,43525
14,0-4,4710,2350,2365
14,5-9,5545,2825,2715
14,10-14,5715,3040,2680
14,15-19,5675,2955,2720
14,20-24,4610,2430,2180
14,25-29,4630,2375,2260
14,30-34,5695,2720,2970
14,35-39,6615,3100,3520
14,40-44,6295,3135,3165
14,45-49,6135,3085,3050
14,50-54,5850,2860,2990
14,55-59,6245,2930,3320
14,60-64,6115,3025,3085
14,65-69,4855,2425,2430
14,70-74,3530,1660,1870
14,75-79,2185,1060,1120
14,80-84,1230,590,640
14,85-89,600,290,310
14,90-94,185,65,120
14,95-99,20,0,20
14,100 years and over,0,0,0
